date	Stock	Open	Low	Close	Volume	30_day_MA	60_day_MA	90_day_MA	30_day_MA	60_day_MA	90_day_MA	SMA_30	SMA_60	SMA_90	EMA_30	EMA_60	EMA_90	RSI	EMA_12	EMA_26	MACD	Signal_Line	MACD_Histogram	Price_Change_Pct	Article Length	article_sentiment
7/20/2016	MSFT	56.84000015	55.52999878	55.90999985	89893300	51.94566574	52.30933259	50.51933293	51.94566574	52.30933259	50.51933293	51.94566574	52.30933259	50.51933293	52.10793488	51.41125653	50.52306335	71.72180438	52.73568528	52.17710406	0.558581215	0.040407707	0.518173508	5.3117342	1394	4
7/25/2016	MSFT	56.74000168	56.25999832	56.72999954	25610600	52.09999911	52.40333258	50.65977737	52.09999911	52.40333258	50.65977737	52.09999911	52.40333258	50.65977737	52.4061326	51.58564154	50.65947953	74.60651157	53.35019517	52.51435558	0.835839585	0.199494082	0.636345503	0.282835157	623	4
8/1/2016	MSFT	56.75	56.13999939	56.58000183	26003400	52.24933256	52.4764993	50.79966626	52.24933256	52.4764993	50.79966626	52.24933256	52.4764993	50.79966626	52.67541449	51.74939106	50.7896009	91.38823758	53.8470885	52.81551456	1.031573937	0.365910053	0.665663883	-0.176426382	269	4
8/3/2016	MSFT	57.11000061	56.49000168	56.97000122	22075600	52.41166598	52.5484993	50.9451107	52.41166598	52.5484993	50.9451107	52.41166598	52.5484993	50.9451107	52.9524846	51.92055861	50.92543387	91.79932521	54.32753661	53.12325431	1.204282295	0.533584502	0.670697794	0.689288401	904	4
8/5/2016	MSFT	58.20999908	57.45000076	57.95999908	29335200	52.60699933	52.65849927	51.11844402	52.60699933	52.65849927	51.11844402	52.60699933	52.65849927	51.11844402	53.27555005	52.11857305	51.0800397	92.48041272	54.88637699	53.4815317	1.404845286	0.707836658	0.697008627	0.99320387	679	1
8/8/2016	MSFT	58.09000015	57.77999878	58.06000137	19473500	52.8056661	52.7653326	51.28744405	52.8056661	52.7653326	51.28744405	52.8056661	52.7653326	51.28744405	53.58422433	52.31337398	51.23344545	92.56387296	55.3746269	53.82067761	1.553949289	0.877059185	0.676890105	0.172536733	961	2
8/15/2016	MSFT	58.5	57.95999908	58.11999893	19283900	53.00633278	52.84949926	51.47344403	53.00633278	52.84949926	51.47344403	53.00633278	52.84949926	51.47344403	53.87685495	52.50375512	51.38479827	92.6130626	55.79699182	54.13914585	1.657845972	1.033216542	0.62462943	0.31066674	877	1
9/7/2016	MSFT	57.84000015	57.40999985	57.65999985	17493400	53.19166616	52.91733259	51.64188847	53.19166616	52.91733259	51.64188847	53.19166616	52.91733259	51.64188847	54.12092881	52.67281233	51.52271479	91.20526785	56.08360844	54.39994985	1.683658591	1.163304952	0.520353639	0.086789163	827	2
9/26/2016	MSFT	57.13999939	56.83000183	56.90000153	21688700	53.35166626	52.96799927	51.81266628	53.35166626	52.96799927	51.81266628	53.35166626	52.96799927	51.81266628	54.30022383	52.81140869	51.64089692	82.25995066	56.20920738	54.58513886	1.624068514	1.255457664	0.36861085	-0.922860485	653	2
10/12/2016	MSFT	57.27000046	56.40000153	57.11000061	22177500	53.51866633	53.00233262	51.98699964	53.51866633	53.00233262	51.98699964	53.51866633	53.00233262	51.98699964	54.48149975	52.95234613	51.761097	84.53728225	56.34779095	54.77216566	1.575625292	1.31949119	0.256134102	-0.13988113	1042	5
